option	groups	1A	1B	1D	1E	1G	1I	1K	1L
395	BCEFGIKL	3E	3G	3B	3C	3I	3F	3L	3K
396	BCEFGJKL	3E	3G	3B	3C	3J	3F	3L	3K
397	BCEFHIJK	3E	3J	3B	3C	3H	3F	3I	3K
398	BCEFHIJL	3E	3J	3B	3C	3H	3F	3L	3I
399	BCEFHIKL	3E	3I	3B	3C	3H	3F	3L	3K
400	BCEFHJKL	3E	3J	3B	3C	3H	3F	3L	3K
401	BCEFIJKL	3E	3J	3B	3C	3I	3F	3L	3K
402	BCEGHIJK	3E	3J	3B	3C	3H	3G	3I	3K
403	BCEGHIJL	3E	3J	3B	3C	3H	3G	3L	3I
404	BCEGHIKL	3E	3G	3B	3C	3I	3H	3L	3K
405	BCEGHJKL	3E	3J	3B	3C	3H	3G	3L	3K
406	BCEGIJKL	3E	3J	3B	3C	3I	3G	3L	3K
407	BCEHIJKL	3E	3J	3B	3C	3I	3H	3L	3K
408	BCFGHIJK	3H	3G	3B	3C	3J	3F	3I	3K
409	BCFGHIJL	3H	3G	3B	3C	3J	3F	3L	3I
410	BCFGHIKL	3H	3G	3B	3C	3I	3F	3L	3K
411	BCFGHJKL	3H	3G	3B	3C	3J	3F	3L	3K
412	BCFGIJKL	3I	3G	3B	3C	3J	3F	3L	3K
413	BCFHIJKL	3H	3J	3B	3C	3I	3F	3L	3K
414	BCGHIJKL	3H	3J	3B	3C	3I	3G	3L	3K
415	BDEFGHIJ	3H	3G	3B	3D	3J	3F	3E	3I
416	BDEFGHIK	3E	3G	3B	3D	3H	3F	3I	3K
417	BDEFGHIL	3E	3G	3B	3D	3H	3F	3L	3I
418	BDEFGHJK	3H	3G	3B	3D	3J	3F	3E	3K
419	BDEFGHJL	3H	3G	3B	3D	3J	3F	3L	3E
420	BDEFGHKL	3E	3G	3B	3D	3H	3F	3L	3K
421	BDEFGIJK	3E	3G	3B	3D	3J	3F	3I	3K
422	BDEFGIJL	3E	3G	3B	3D	3J	3F	3L	3I
423	BDEFGIKL	3E	3G	3B	3D	3I	3F	3L	3K
424	BDEFGJKL	3E	3G	3B	3D	3J	3F	3L	3K
425	BDEFHIJK	3E	3J	3B	3D	3H	3F	3I	3K
426	BDEFHIJL	3E	3J	3B	3D	3H	3F	3L	3I
427	BDEFHIKL	3E	3I	3B	3D	3H	3F	3L	3K
428	BDEFHJKL	3E	3J	3B	3D	3H	3F	3L	3K
429	BDEFIJKL	3E	3J	3B	3D	3I	3F	3L	3K
430	BDEGHIJK	3E	3J	3B	3D	3H	3G	3I	3K
431	BDEGHIJL	3E	3J	3B	3D	3H	3G	3L	3I
432	BDEGHIKL	3E	3G	3B	3D	3I	3H	3L	3K
433	BDEGHJKL	3E	3J	3B	3D	3H	3G	3L	3K
434	BDEGIJKL	3E	3J	3B	3D	3I	3G	3L	3K
435	BDEHIJKL	3E	3J	3B	3D	3I	3H	3L	3K
436	BDFGHIJK	3H	3G	3B	3D	3J	3F	3I	3K
437	BDFGHIJL	3H	3G	3B	3D	3J	3F	3L	3I
438	BDFGHIKL	3H	3G	3B	3D	3I	3F	3L	3K
439	BDFGHJKL	3H	3G	3B	3D	3J	3F	3L	3K
440	BDFGIJKL	3I	3G	3B	3D	3J	3F	3L	3K
441	BDFHIJKL	3H	3J	3B	3D	3I	3F	3L	3K
442	BDGHIJKL	3H	3J	3B	3D	3I	3G	3L	3K
443	BEFGHIJK	3E	3J	3B	3F	3H	3G	3I	3K
444	BEFGHIJL	3E	3J	3B	3F	3H	3G	3L	3I
445	BEFGHIKL	3E	3G	3B	3F	3I	3H	3L	3K
446	BEFGHJKL	3E	3J	3B	3F	3H	3G	3L	3K
447	BEFGIJKL	3E	3J	3B	3F	3I	3G	3L	3K
448	BEFHIJKL	3E	3J	3B	3F	3I	3H	3L	3K
449	BEGHIJKL	3E	3J	3I	3B	3H	3G	3L	3K
450	BFGHIJKL	3H	3J	3B	3F	3I	3G	3L	3K
451	CDEFGHIJ	3C	3G	3J	3D	3H	3F	3E	3I
452	CDEFGHIK	3C	3G	3E	3D	3H	3F	3I	3K
453	CDEFGHIL	3C	3G	3E	3D	3H	3F	3L	3I
454	CDEFGHJK	3C	3G	3J	3D	3H	3F	3E	3K
455	CDEFGHJL	3C	3G	3J	3D	3H	3F	3L	3E
456	CDEFGHKL	3C	3G	3E	3D	3H	3F	3L	3K
457	CDEFGIJK	3C	3G	3E	3D	3J	3F	3I	3K
458	CDEFGIJL	3C	3G	3E	3D	3J	3F	3L	3I
459	CDEFGIKL	3C	3G	3E	3D	3I	3F	3L	3K
460	CDEFGJKL	3C	3G	3E	3D	3J	3F	3L	3K
461	CDEFHIJK	3C	3J	3E	3D	3H	3F	3I	3K
462	CDEFHIJL	3C	3J	3E	3D	3H	3F	3L	3I
463	CDEFHIKL	3C	3E	3I	3D	3H	3F	3L	3K
464	CDEFHJKL	3C	3J	3E	3D	3H	3F	3L	3K
465	CDEFIJKL	3C	3J	3E	3D	3I	3F	3L	3K
466	CDEGHIJK	3E	3G	3J	3C	3H	3D	3I	3K
467	CDEGHIJL	3E	3G	3J	3C	3H	3D	3L	3I
468	CDEGHIKL	3E	3G	3I	3C	3H	3D	3L	3K
469	CDEGHJKL	3E	3G	3J	3C	3H	3D	3L	3K
470	CDEGIJKL	3E	3G	3I	3C	3J	3D	3L	3K
471	CDEHIJKL	3E	3J	3I	3C	3H	3D	3L	3K
472	CDFGHIJK	3C	3G	3J	3D	3H	3F	3I	3K
473	CDFGHIJL	3C	3G	3J	3D	3H	3F	3L	3I
474	CDFGHIKL	3C	3G	3I	3D	3H	3F	3L	3K
475	CDFGHJKL	3C	3G	3J	3D	3H	3F	3L	3K
476	CDFGIJKL	3C	3G	3I	3D	3J	3F	3L	3K
477	CDFHIJKL	3C	3J	3I	3D	3H	3F	3L	3K
478	CDGHIJKL	3H	3G	3I	3C	3J	3D	3L	3K
479	CEFGHIJK	3E	3G	3J	3C	3H	3F	3I	3K
480	CEFGHIJL	3E	3G	3J	3C	3H	3F	3L	3I
481	CEFGHIKL	3E	3G	3I	3C	3H	3F	3L	3K
482	CEFGHJKL	3E	3G	3J	3C	3H	3F	3L	3K
483	CEFGIJKL	3E	3G	3I	3C	3J	3F	3L	3K
484	CEFHIJKL	3E	3J	3I	3C	3H	3F	3L	3K
485	CEGHIJKL	3E	3J	3I	3C	3H	3G	3L	3K
486	CFGHIJKL	3H	3G	3I	3C	3J	3F	3L	3K
487	DEFGHIJK	3E	3G	3J	3D	3H	3F	3I	3K
488	DEFGHIJL	3E	3G	3J	3D	3H	3F	3L	3I
489	DEFGHIKL	3E	3G	3I	3D	3H	3F	3L	3K
490	DEFGHJKL	3E	3G	3J	3D	3H	3F	3L	3K
491	DEFGIJKL	3E	3G	3I	3D	3J	3F	3L	3K
492	DEFHIJKL	3E	3J	3I	3D	3H	3F	3L	3K
493	DEGHIJKL	3E	3J	3I	3D	3H	3G	3L	3K
494	DFGHIJKL	3H	3G	3I	3D	3J	3F	3L	3K
495	EFGHIJKL	3E	3J	3I	3F	3H	3G	3L	3K
