option	groups	1A	1B	1D	1E	1G	1I	1K	1L
91	ABCEGHIJ	3H	3J	3B	3C	3A	3G	3E	3I
92	ABCEGHIK	3E	3G	3B	3C	3A	3H	3I	3K
93	ABCEGHIL	3E	3G	3B	3C	3A	3H	3L	3I
94	ABCEGHJK	3H	3J	3B	3C	3A	3G	3E	3K
95	ABCEGHJL	3H	3J	3B	3C	3A	3G	3L	3E
96	ABCEGHKL	3E	3G	3B	3C	3A	3H	3L	3K
97	ABCEGIJK	3E	3J	3B	3C	3A	3G	3I	3K
98	ABCEGIJL	3E	3J	3B	3C	3A	3G	3L	3I
99	ABCEGIKL	3E	3G	3B	3A	3I	3C	3L	3K
100	ABCEGJKL	3E	3J	3B	3C	3A	3G	3L	3K
101	ABCEHIJK	3E	3J	3B	3C	3A	3H	3I	3K
102	ABCEHIJL	3E	3J	3B	3C	3A	3H	3L	3I
103	ABCEHIKL	3E	3I	3B	3C	3A	3H	3L	3K
104	ABCEHJKL	3E	3J	3B	3C	3A	3H	3L	3K
105	ABCEIJKL	3E	3J	3B	3A	3I	3C	3L	3K
106	ABCFGHIJ	3H	3G	3B	3C	3A	3F	3I	3J
107	ABCFGHIK	3H	3G	3B	3C	3A	3F	3I	3K
108	ABCFGHIL	3H	3G	3B	3C	3A	3F	3L	3I
109	ABCFGHJK	3H	3G	3B	3C	3A	3F	3J	3K
110	ABCFGHJL	3H	3G	3B	3C	3A	3F	3L	3J
111	ABCFGHKL	3H	3G	3B	3C	3A	3F	3L	3K
112	ABCFGIJK	3C	3J	3B	3F	3A	3G	3I	3K
113	ABCFGIJL	3C	3J	3B	3F	3A	3G	3L	3I
114	ABCFGIKL	3I	3G	3B	3C	3A	3F	3L	3K
115	ABCFGJKL	3C	3J	3B	3F	3A	3G	3L	3K
116	ABCFHIJK	3H	3J	3B	3C	3A	3F	3I	3K
117	ABCFHIJL	3H	3J	3B	3C	3A	3F	3L	3I
118	ABCFHIKL	3H	3I	3B	3C	3A	3F	3L	3K
119	ABCFHJKL	3H	3J	3B	3C	3A	3F	3L	3K
120	ABCFIJKL	3I	3J	3B	3C	3A	3F	3L	3K
121	ABCGHIJK	3H	3J	3B	3C	3A	3G	3I	3K
